Name, MaxHeap Breadth, MinHeap Breadth, MaxHeap Depth, MinHeap Depth, BST
Nikhil Lowery,677761,178330,207333,195459,13239
Megan Cohen,4841,280264,165905,300186,1915
Valentino Marsh,24425,59038,62921,60523,831
Roland Walker,43137,464,15866,424,1089
Esther Boyd,38329,63736,108284,61923,378
Jaden Barron,81547,3499,138681,3453,487
Dillan Curry,68135,9516,68009,9545,372
Dominik Melton,42746,47054,108915,47215,470
Jaylee Herring,22543,62737,101813,59124,659
Arnav Mullins,42488,66759,61734,66971,418
Sofia Spears,36442,74267,33356,73843,590
June Ellison,87845,12631,77520,11151,590
August Reese,96616,85757,21253,88752,722
Thaddeus Vance,74876,29754,4348,29874,464
Abel Khan,102949,101704,81960,92813,510
Billy Frye,1577,68904,168905,38163,2110
Hudson Benton,6785,56754,95148,58292,539
Kolton Schultz,7313,37555,21815,36804,550
Carson Pennington,16698,103351,51380,98337,768
Oscar Morrison,34870,16772,94568,16491,349
Blake Brown,39815,59261,97201,57879,659
Jamir Mooney,51638,52923,57730,52384,567
Sophia Howard,57340,110716,138761,107515,1491
Miriam Barr,71491,10302,173018,10686,894
Emiliano Blake,71044,74216,135611,67109,1273
Karsyn Pham,87685,35794,20340,37549,958
Isla Foster,78162,94568,36110,97230,1009
Leroy Tyler,81576,21344,8942,21298,521
Paul Moran,88757,77686,19600,85189,648
Arely Atkinson,91953,34056,80285,34767,757
Lyric Harmon,89973,103167,76011,102307,871
Carmelo Krause,12000,10457,86646,10181,694
Ashlee Butler,4107,85935,83474,79109,533
Isabella Wu,50192,37664,3705,37188,533
Ignacio Salazar,8839,93593,48615,99760,734
Damaris Stanley,7055,27471,41364,24539,590
Jamison Krueger,20920,82631,51643,83428,676
Bryson Gamble,22882,53886,94637,55722,757
Bennett Nelson,28400,101796,97431,103953,585
Caden Yates,47106,19153,3372,19056,608
Paige Roberts,35823,69019,60787,72529,636
Hassan King,39580,32392,98372,31991,435
Ayla Farrell,43165,97121,104331,96220,831
Dayton Camacho,45701,29186,106058,29186,745
Clarence Mcintyre,53060,84019,61682,83950,757
Craig Molina,55871,52246,62256,51190,694
Monserrat Garner,62284,112557,119275,109787,642
Derick David,62818,2816,115529,2833,917
Hayden Kim,62548,62233,117100,60867,797
Clayton Cole,77004,42810,67860,44118,929
Duncan Davenport,68359,89274,64682,88494,705
Keshawn Stein,111433,23323,10308,22945,889
Giana Dominguez,71090,72822,67992,68577,521
Roselyn Finley,76120,48454,69862,47135,573
Julio Walsh,82803,111014,4485,109293,906
Gaven Roy,80830,12246,73258,11868,648
Johnathon Nash,82298,72868,38226,68313,613
Maritza Elliott,86027,41404,72948,41565,774
Josephine Kaufman,89853,106442,40188,100752,917
Iliana Munoz,91081,26633,19170,25084,768
Leandro Dodson,84220,81249,37567,80233,688
Jordyn Shields,89767,55487,22681,55745,797
Cristopher Macias,91757,107395,39414,106615,1049
Memphis Black,378,3177,81449,3459,418
Frida Vazquez,27058,68439,12722,67740,711
Harper Steele,2569,34698,25652,38547,562
Vivian Ferguson,5690,87329,89790,97442,464
Savanna Shaw,8885,14512,42976,14243,481
Rocco Daniel,11478,73361,83635,71371,527
Dulce Bates,12287,44680,90966,43418,659
Karina Crawford,15183,106741,86922,103580,751
Zachariah Carrillo,16021,7101,86773,7118,401
Helena Howell,18648,72822,47921,71210,808
Boston Blair,19245,35869,93100,36356,671
Shannon Harding,21551,93186,97947,95142,728
Jasmin Mcintosh,24207,24253,93358,23685,653
Charlee Little,26002,87088,98199,91826,1032
Ahmed Rhodes,31239,64820,63380,64717,791
Cameron Wade,4296,113653,5696,111812,957
Jovan Barton,34601,4491,112970,4302,906
Carl Burch,33058,68468,100339,64808,1009
Atticus Whitaker,35037,37991,3286,39752,665
Yusuf Copeland,33838,84415,54058,82981,430
Richard Thornton,44112,18889,15218,18797,602
Tristan Ferrell,38777,74285,103620,70470,665
Chanel Villa,47089,51730,31653,50990,986
Donte Davies,42030,100976,103815,99375,975
Jewel Conner,51007,12344,119080,11638,900
Darius Mercado,64085,78925,66804,72552,992
Aniya Crane,51477,43911,62221,44146,648
Jaylene Ruiz,59324,110877,35020,109603,1279
Brendan Reed,53095,20209,32226,20908,774
Livia Reid,60024,81254,65996,83159,940
Gavyn Barker,55252,53083,109770,53055,671
Faith James,57885,109322,110699,108961,854
Elian Ortega,69552,2747,63294,2437,573
Zain Hinton,59525,59875,30345,58028,458
Essence Foley,64630,28893,113636,28257,573
Naima Henson,64854,82906,116533,83899,573
Joselyn Bowen,71308,21035,67900,19325,877
Eve Welch,60064,72547,7290,72340,631
Roy Sparks,69558,44135,8047,44175,579
Emmy Powers,75036,110297,38312,113194,1021
Tommy Weiss,71302,8816,3906,9034,470
Gabrielle Goodwin,77141,73981,40595,70895,849
Makhi Lyons,76964,39660,35880,47771,837
Kendra Oconnor,82195,100184,18809,98199,1537
Spencer Ewing,73665,22968,65680,23427,544
Darrell Bauer,74767,75782,67298,78908,952
Kendrick Contreras,85413,57477,73516,56967,1164
Kinsley Woods,66116,114800,3900,106970,814
Taliyah Richards,80606,5621,37027,6516,585
Karla Velez,80446,66191,18275,65267,820
Adolfo Martinez,86245,37681,38720,37016,613
Lance Eaton,80405,87232,68950,93255,762
Dillon Mason,82046,14799,72111,14977,533
Maribel Waller,84323,77078,20472,75747,894
Christopher Glenn,82206,47324,72369,47290,1548
Rayan Vaughan,81599,101733,4514,102995,711
Siena Mckinney,82780,12923,21780,13509,539
Hamza Aguilar,81065,64573,70912,64401,676
Madelynn Floyd,89205,44049,73528,43825,1262
Kaylee Maldonado,95693,111714,41060,110171,1485
Lilyana Baldwin,84203,26995,72111,26983,774
Annabella Gaines,97947,118294,80537,119194,963
Rylee Hogan,89882,55705,74210,57156,648
Janae Moss,96329,113337,41112,112884,820
Jaydin Lucero,3751,1858,21390,1072,642
Teagan Harrington,464,65319,85895,60730,562
Aniyah Lutz,2982,36110,41008,35318,602
Nina Oliver,2156,88023,42534,89067,481
Ariella Duran,4835,14679,81696,14266,481
Xzavier Meyer,3814,67711,39941,67350,476
Hezekiah Horn,6659,44789,80830,42494,590
Amina Wallace,26650,64676,28566,66145,722
